Date : 2025-05-13 01:46:08
Directory : c:\PFE_PROJECT\ReactJs\elite
Total : 83 files,  48957 codes, 1716 comments, 4965 blanks, all 55638 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |     17,958 |          0 |          3 |     17,961 |
| CSS              |         23 |     15,949 |        285 |      2,813 |     19,047 |
| JavaScript       |         30 |     11,656 |        954 |      1,309 |     13,919 |
| Python           |         14 |      2,730 |        477 |        733 |      3,940 |
| log              |          2 |        485 |          0 |         32 |        517 |
| Markdown         |          3 |        138 |          0 |         68 |        206 |
| HTML             |          1 |         25 |          0 |          1 |         26 |
| pip requirements |          1 |         12 |          0 |          1 |         13 |
| Properties       |          1 |          3 |          0 |          1 |          4 |
| XML              |          5 |          1 |          0 |          4 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |         83 |     48,957 |      1,716 |      4,965 |     55,638 |
| . (Files)                                                           |         12 |     18,227 |         38 |        105 |     18,370 |
| backend                                                             |         12 |      3,152 |        439 |        743 |      4,334 |
| public                                                              |          6 |         50 |          0 |          6 |         56 |
| src                                                                 |         53 |     27,528 |      1,239 |      4,111 |     32,878 |
| src (Files)                                                         |          8 |         65 |          4 |         14 |         83 |
| src\components                                                      |         18 |     11,006 |        757 |      1,152 |     12,915 |
| src\contexts                                                        |          2 |        261 |         41 |         66 |        368 |
| src\styles                                                          |         21 |     15,937 |        285 |      2,810 |     19,032 |
| src\utils                                                           |          4 |        259 |        152 |         69 |        480 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                            | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\PFE_PROJECT\ReactJs\elite\Messages.js                            | JavaScript       |         78 |          0 |         11 |         89 |
| c:\PFE_PROJECT\ReactJs\elite\README.md                              | Markdown         |         38 |          0 |         33 |         71 |
